Date,ACB,APHA,CGC,CRON,HEXO,TCNNF,TLRY
1/11/2021,10.44,9.05,31.469999,9.8,5.06,40.59,12.33
1/12/2021,10.56,9.43,30.92,9.76,5.35,41.854,13.35
1/13/2021,10.91,10,32.18,10.7,6.27,45.700001,15.02
1/14/2021,11.96,12.11,34.619999,11.26,7.13,45.23,18.559999
1/15/2021,12.04,12.42,33.389999,10.93,7.21,43.308998,19.700001
1/19/2021,11.84,13.61,33.560001,11.09,7.04,43.5,20.09
1/20/2021,11.54,13.07,33.630001,10.95,6.99,44.400002,18.790001
1/21/2021,11.17,12.68,33.560001,10.74,6.76,43.93,17.92
1/22/2021,10.65,12.92,33.799999,10.65,6.69,43,18.02
1/25/2021,10.16,12.01,32.91,9.91,6.11,43.34,17.18
1/26/2021,10.67,12.97,35.52,10.38,6.62,42.380001,19.030001
1/27/2021,11.2,13.01,37.830002,10.34,6.48,39.860001,18.549999
1/28/2021,11.7,12.96,40.330002,10.48,6.52,39.959999,18.700001
1/29/2021,11.15,12.18,40.07,10.35,6.35,39.959999,18.1
2/1/2021,11.2,12.5,40.060001,10.2,6.27,40.029999,19.1
2/2/2021,12.7,14.74,41.715,11.35,7.12,42.34,23.49
2/3/2021,13.75,16.6,44.939999,12.25,7.93,42.759998,26.309999
2/4/2021,13.07,16.440001,44.139999,12.19,7.81,45.189999,26.780001
2/5/2021,12.8,16.67,42.93,12.01,7.8,46.32,25.719999
